departement,candidate,party
Ain,Marine Le Pen,National Rally
Aisne,Marine Le Pen,National Rally
Allier,Emmueal Macron,La République En Marche!
Alpes-de-Haute-Provence,Marine Le Pen,National Rally
Hautes-Alpes,Emmueal Macron,La République En Marche!
Alpes-Maritimes,Marine Le Pen,National Rally
Ardèche,Marine Le Pen,National Rally
Ardennes,Marine Le Pen,National Rally
Ariège,Jean-Luc Mélenchon,La France Insoumise
Aube,Marine Le Pen,National Rally
Aude,Marine Le Pen,National Rally
Aveyron,Emmueal Macron,La République En Marche!
Bouches-du-Rhône,Marine Le Pen,National Rally
Calvados,Emmueal Macron,La République En Marche!
Cantal,Emmueal Macron,La République En Marche!
Charente,Emmueal Macron,La République En Marche!
Charente-Maritime,Emmueal Macron,La République En Marche!
Cher,Marine Le Pen,National Rally
Corrèze,Emmueal Macron,La République En Marche!
Corse-du-Sud,Marine Le Pen,National Rally
Haute-Corse,Marine Le Pen,National Rally
Côte-d'Or,Emmueal Macron,La République En Marche!
Côtes-d'Armor,Emmueal Macron,La République En Marche!
Creuse,Emmueal Macron,La République En Marche!
Dordogne,Jean-Luc Mélenchon,La France Insoumise
Doubs,Marine Le Pen,National Rally
Drôme,Marine Le Pen,National Rally
Eure,Marine Le Pen,National Rally
Eure-et-Loir,Marine Le Pen,National Rally
Finistère,Emmueal Macron,La République En Marche!
Gard,Marine Le Pen,National Rally
Haute-Garonne,Emmueal Macron,La République En Marche!
Gers,Emmueal Macron,La République En Marche!
Gironde,Emmueal Macron,La République En Marche!
Hérault,Marine Le Pen,National Rally
Ille-et-Vilaine,Emmueal Macron,La République En Marche!
Indre,Marine Le Pen,National Rally
Indre-et-Loire,Emmueal Macron,La République En Marche!
Isère,Emmueal Macron,La République En Marche!
Jura,Marine Le Pen,National Rally
Landes,Emmueal Macron,La République En Marche!
Loir-et-Cher,Marine Le Pen,National Rally
Loire,Marine Le Pen,National Rally
Haute-Loire,Emmueal Macron,La République En Marche!
Loire-Atlantique,Emmueal Macron,La République En Marche!
Loiret,Marine Le Pen,National Rally
Lot,Emmueal Macron,La République En Marche!
Lot-et-Garonne,Marine Le Pen,National Rally
Lozère,François Fillon,The Republicans
Maine-et-Loire,Emmueal Macron,La République En Marche!
Manche,Emmueal Macron,La République En Marche!
Marne,Marine Le Pen,National Rally
Haute-Marne,Marine Le Pen,National Rally
Mayenne,François Fillon,The Republicans
Meurthe-et-Moselle,Marine Le Pen,National Rally
Meuse,Marine Le Pen,National Rally
Morbihan,Emmueal Macron,La République En Marche!
Moselle,Marine Le Pen,National Rally
Nièvre,Marine Le Pen,National Rally
Nord,Marine Le Pen,National Rally
Oise,Marine Le Pen,National Rally
Orne,François Fillon,The Republicans
Pas-de-Calais,Marine Le Pen,National Rally
Puy-de-Dôme,Emmueal Macron,La République En Marche!
Pyrénées-Atlantiques,Emmueal Macron,La République En Marche!
Hautes-Pyrénées,Emmueal Macron,La République En Marche!
Pyrénées-Orientales,Marine Le Pen,National Rally
Bas-Rhin,Marine Le Pen,National Rally
Haut-Rhin,Marine Le Pen,National Rally
Rhône,Emmueal Macron,La République En Marche!
Haute-Saône,Marine Le Pen,National Rally
Saône-et-Loire,Marine Le Pen,National Rally
Sarthe,François Fillon,The Republicans
Savoie,Emmueal Macron,La République En Marche!
Haute-Savoie,François Fillon,The Republicans
Paris,Emmueal Macron,La République En Marche!
Seine-Maritime,Marine Le Pen,National Rally
Seine-et-Marne,Emmueal Macron,La République En Marche!
Yvelines,Emmueal Macron,La République En Marche!
Deux-Sèvres,Emmueal Macron,La République En Marche!
Somme,Marine Le Pen,National Rally
Tarn,Marine Le Pen,National Rally
Tarn-et-Garonne,Marine Le Pen,National Rally
Var,Marine Le Pen,National Rally
Vaucluse,Marine Le Pen,National Rally
Vendée,Emmueal Macron,La République En Marche!
Vienne,Emmueal Macron,La République En Marche!
Haute-Vienne,Emmueal Macron,La République En Marche!
Vosges,Marine Le Pen,National Rally
Yonne,Marine Le Pen,National Rally
Territoire de Belfort,Marine Le Pen,National Rally
Essonne,Emmueal Macron,La République En Marche!
Hauts-de-Seine,Emmueal Macron,La République En Marche!
Seine-Saint-Denis,Jean-Luc Mélenchon,La France Insoumise
Val-de-Marne,Emmueal Macron,La République En Marche!
Val-d'Oise,Emmueal Macron,La République En Marche!
Guadeloupe,Emmueal Macron,La République En Marche!
Martinique,Jean-Luc Mélenchon,La France Insoumise
French Guiana,Jean-Luc Mélenchon,La France Insoumise
Réunion,Jean-Luc Mélenchon,La France Insoumise
Mayotte,François Fillon,The Republicans
New Caledonia,François Fillon,The Republicans
French Polynesia,François Fillon,The Republicans
Saint Pierre and Miquelon,Jean-Luc Mélenchon,La France Insoumise
Wallis and Futuna,Emmueal Macron,La République En Marche!
Saint Martin/Saint Barthélemy,François Fillon,The Republicans
