Species,Long term percentage change (1970-2014),Annual percentage change,Trend,Short term percentage change,Annual percentage change,Short term Trend
Blackbird (Turdus merula),-16,-0.38,no change,-2,-0.36,no change
Blue Tit (Cyanistes caeruleus),24,0.48,no change,-2,-0.43,no change
Bullfinch (Pyrrhula pyrrhula),-39,-1.13,no change,12,2.38,weak increase
Chaffinch (Fringilla coelebs),27,0.55,no change,-7,-1.49,weak decline
Dunnock (Prunella modularis),-30,-0.8,no change,0,0.01,no change
Great Tit (Parus major),85,1.41,weak increase,-4,-0.8,no change
Lesser Whitethroat (Sylvia curruca),19,0.4,no change,0,0.01,no change
Long-tailed Tit (Aegithalos caudatus),89,1.46,weak increase,-10,-2.13,weak decline
Robin (Erithacus rubecula),45,0.86,no change,0,-0.06,no change
Song Thrush (Turdus philomelos),-53,-1.71,weak decline,-4,-0.88,no change
Tawny Owl (Strix aluco),-31,-0.83,no change,3,0.64,no change
Wren (Troglodytes troglodytes),53,0.97,no change,10,1.84,weak increase
Blackcap (Sylvia atricapilla),297,3.18,strong increase,40,6.93,strong increase
Chiffchaff (Phylloscopus collybita),93,1.51,weak increase,22,4.13,strong increase
Coal Tit (Periparus ater),19,0.4,no change,-10,-2.14,weak decline
Garden Warbler (Sylvia borin),-5,-0.12,no change,-9,-1.94,weak decline
Goldcrest (Regulus regulus),-21,-0.53,no change,0,0.09,no change
Great Spotted Woodpecker (Dendrocopos major),361,3.53,strong increase,-1,-0.27,no change
Green Woodpecker (Picus viridis),101,1.6,weak increase,-8,-1.7,weak decline
Jay (Garrulus glandarius),14,0.29,no change,9,1.78,weak increase
Lesser Spotted Woodpecker (Dendrocopos minor),-83,-3.98,strong decline,-44,-11.08,strong decline
Marsh Tit (Poecile palustris),-72,-2.83,strong decline,-12,-2.5,weak decline
Nightingale (Luscinia megarhynchos),(1995-2014) -40,-2.62,weak decline,28,5.04,strong increase
Nuthatch (Sitta europaea),257,2.94,strong increase,15,2.91,strong increase
Lesser Redpoll (Carduelis cabaret),-86,-4.33,strong decline,14,2.58,weak increase
Redstart (Phoenicurus phoenicurus),70,1.21,weak increase,35,6.2,strong increase
Sparrowhawk (Accipiter nisus),93,1.51,weak increase,-5,-1.11,no change
Spotted Flycatcher (Muscicapa striata),-87,-4.45,strong decline,6,1.15,weak increase
Tree Pipit (Anthus trivialis),-67,-2.5,weak decline,28,4.98,strong increase
Treecreeper (Certhia familiaris),-12,-0.29,no change,11,2.03,weak increase
Willow Tit (Poecile montana),-93,-5.73,strong decline,-7,-1.46,weak decline
Willow Warbler (Phylloscopus trochilus),-42,-1.22,weak decline,-7,-1.41,weak decline
Pied Flycatcher (Ficedula hypoleuca),(1995-2014) -46,-3.15,strong decline,15,2.77,weak increase
Wood Warbler (Phylloscopus sibilatrix),(1995-2014) -55,-4.07,strong decline,13,2.43,weak increase
Common Crossbill (Loxia curvirostra),(1995-2014) 8,0.38,no change,-22,-4.94,strong decline
Siskin (Carduelis spinus),(1995-2014) 53,2.26,weak increase,-2,-0.49,no change
Capercaillie (Tetrao urogallus),-89,-4.94,strong decline,-11,-2.38,weak decline
